title,link
Progress.WS_FTP.Server.Ad.Hoc.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/53961
Libwebp.BuildHuffmanTable.Heap.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53914
Roundcube.Webmail.search.params.SQL.injection,https://www.fortiguard.com/encyclopedia/ips/53922
Phoenix.Contact.TC.Router.Cloud.Client.License.Viewer.XSS,https://www.fortiguard.com/encyclopedia/ips/53622
MS.Windows.ICS.CVE-2023-38148.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53606
WordPress.Forminator.Plugin.Image.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/53604
Ivanti.Sentry.MICS.Portal.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/53592
HPE.LoadRunner.server_name.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53582
Advantech.WebAccess.IOCTL.0x1138A.Heap.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/53567
Chamilo.API.wsConvertPpt.Remote.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53574
Jorani.API.session.CVE-2023-26469.Remote.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/53575
Maltrail.API.login.Remote.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53571
Metabase.Setup.Token.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53542
RaspAP.openvpn.CVE-2022-39986.Remote.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53570
Ivanti.Avalanche.RCS.updateSkin.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/53563
VMware.vCenter.Server.DCERPC.Authentication.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/53564
Advantech.WebAccess.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/41987
MS.Windows.PGM.PARITY_PRM_TGS.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53557
Squid.Proxy.Pinger.Service.DoS,https://www.fortiguard.com/encyclopedia/ips/53559
QNAP.NAS.Photo.Station.Arbitrary.File.Write,https://www.fortiguard.com/encyclopedia/ips/53544
SonicWall.Email.Security.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/53546
MS.Exchange.Server.BackEndCookie.Handling.SSRF,https://www.fortiguard.com/encyclopedia/ips/53535
Rudder.Server.CVE-2023-30625.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53519
SmarterTools.SmarterMail.NET.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/53470
Unified.Automation.UaGateway.NodeManagerOpcUa.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53527
Trend.Micro.InterScan.WS.VA.ClusterManagement.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53521
Fuji.Electric.Frenic.Loader.User.Comment.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53480
Ivanti.EPMM.CVE-2023-35078.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/53518
Apache.Dubbo.SerializeClassChecker.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/53515
Trend.Micro.Email.Inspector.get_filesize.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53473
Trend.Micro.Email.Inspector.network_dump.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53474
Trend.Micro.InterScan.WS.config_date_time.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53475
EIPStackGroup.OpENer.GetAttributeList.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/53411
EIPStackGroup.OpENer.SetAttributeList.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/53429
HPE.Intelligent.Management.Center.dbman.10005.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53452
HPE.Intelligent.Management.Center.dbman.10006.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53463
HPE.Intelligent.Management.Center.dbman.10013.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53464
WordPress.Plugin.FMA.Shortcode.Remote.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/53450
AlienVault.USM.logcheck.User-Agent.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/53440
Trend.Micro.Email.Inspector.checklicense_AC.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53442
Trend.Micro.Email.Inspector.db_export.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53441
Trend.Micro.Email.Inspector.screenshot.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53443
GLPI-Project.GLPI.ComputerVirtualMachine.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/53431
